,Glottocode,Name,Top-level family,ISO-639-3,Macroarea,Child dialects,Latitude,Longtitude
3938,lame1260,Lamenu,Austronesian,lmu,Papunesia,0,-16.61,168.17
3939,,,,,,,,
3940,lamj1245,Lamja-Dengsa-Tola,Atlantic-Congo,ldh,Africa,3,8.64,12.16
3941,lamk1238,Lamkang,Sino-Tibetan,lmk,Eurasia,0,24.15,94.27
3942,lamm1241,Western Pantar,Timor-Alor-Pantar,lev,Papunesia,3,-8.53,124.06
3943,lamn1239,Lamnso',Atlantic-Congo,lns,Africa,2,6.4,11.07
3944,lamo1244,Lamogai,Austronesian,lmg,Papunesia,5,-5.87,149.32
3945,lamo1245,Lamo,Sino-Tibetan,,Eurasia,3,29.89,97.42
3946,lamp1242,Lampung Nyo,Austronesian,abl,Papunesia,3,-4.44,105.4
3947,lamp1243,Lampung Api,Austronesian,ljp,Papunesia,3,-5.73,105.04
3948,lamu1254,Lamalama,Pama-Nyungan,lby,Australia,0,-14.56,143.98
3949,lamu1257,Lamu,Sino-Tibetan,llh,Eurasia,0,25.8,100.15
3950,lana1236,Lanas Lobu,Austronesian,ruu,Papunesia,2,5.39,116.58
3951,land1256,Landoma,Atlantic-Congo,ldm,Africa,1,10.88,-14.09
3952,land1262,Land Dayak (Retired),Bookkeeping,dyk,,0,,
3953,lang1248,Langue des signes de Belgique Francophone,Sign Language,sfb,Eurasia,0,50.8,4.31
3954,lang1316,Langnian Buyang,Tai-Kadai,yln,Eurasia,0,23.55,106.02
3955,lang1318,Langbashe,Atlantic-Congo,lna,Africa,0,4.88,20.11
3956,lang1320,Langi,Atlantic-Congo,lag,Africa,4,-4.71,35.95
3957,lang1322,Lango-Logire-Logir,Nilotic,lno,Africa,3,4.05,33.04
3958,lang1324,Lango (Uganda),Nilotic,laj,Africa,0,2.14,33.06
3959,lang1328,Pondi,Keram,lnm,Papunesia,0,-4.33,143.93
3960,lang1333,Lang'e,Bookkeeping,yne,Eurasia,0,,
3961,lang1334,Languedocien,Bookkeeping,lnc,,0,,
3962,lang1335,Langue des Signes Zairoise,Sign Language,,Africa,0,-3.62,17.79
3963,lang1336,Langue des Signes de Bouakako,Sign Language,,Africa,0,8.07,-3.55
3964,lano1248,Lanoh,Austroasiatic,lnh,Eurasia,0,4.91,100.99
3965,laom1237,Laomian,Sino-Tibetan,lwm,Eurasia,0,21.95,100.1
3966,laon1234,Lao Naga,Sino-Tibetan,nlq,Eurasia,0,26.43,95.19
3967,laoo1244,Lao,Tai-Kadai,lao,Eurasia,6,19,102.46
3968,laop1234,Laopang,Bookkeeping,lbg,Eurasia,0,20.78,100.08
3969,laos1235,Laos Sign Language,Bookkeeping,lso,Eurasia,0,18.39,104.52
3970,lapa1249,Lapaguía-Guivini Zapotec,Otomanguean,ztl,North America,0,16.07,-96.16
3971,lapu1236,Lapuyan Subanun,Austronesian,laa,Papunesia,0,7.53,123.13
3972,lara1258,Laragia,,lrg,Australia,0,-12.41,130.92
3973,lara1260,Larantuka Malay,Austronesian,lrt,Papunesia,4,-8.47,122.76
3974,lard1243,Lardil,Tangkic,lbz,Australia,0,-16.56,139.43
3975,lare1249,Larevat,Austronesian,lrv,Papunesia,0,-16.2,167.39
3976,larg1235,Diandongbei-Large Flowery Miao,Hmong-Mien,hmd,Eurasia,0,27.87,104.06
3977,lari1253,Larestani,Indo-European,lrl,Eurasia,6,27.64,54.63
3978,lari1255,Larike-Wakasihu,Austronesian,alo,Papunesia,3,-3.77,127.96
3979,laro1243,Laru (North Sudan),Heibanic,lro,Africa,2,11.39,30.38
3980,lart1238,Larteh,Atlantic-Congo,lar,Africa,0,5.94,-0.08
3981,laru1238,Laru (Nigeria),Atlantic-Congo,lan,Africa,0,10.58,4.44
3982,lasa1237,Lasalimu,Austronesian,llm,Papunesia,0,-5.24,123.13
3983,lasg1238,Lasgerdi,Indo-European,lsa,Eurasia,0,35.4,53
3984,lash1243,Lashi,Sino-Tibetan,lsi,Eurasia,0,26.1,98.55
3985,lasi1242,Lasi,Indo-European,lss,Eurasia,0,25.33,66.91
3986,late1255,Late Palestinian Aramaic,Afro-Asiatic,,Eurasia,5,32.28,35.2
3987,lati1261,Latin,Indo-European,lat,Eurasia,3,41.9,12.45
3988,latu1237,Latu,Austronesian,ltu,Papunesia,0,-3.41,128.67
3989,latu1238,Latundê,Nambiquaran,ltn,South America,0,-12.61,-60.42
3990,latv1245,Latvian Sign Language,Sign Language,lsl,Eurasia,0,56.93,24.49
3991,latv1249,Latvian,Indo-European,lav,Eurasia,6,56.83,24.31
3992,laua1243,Lauan,Austronesian,llx,Papunesia,2,-18.21,-178.78
3993,laua1245,Laua,Mailuan,luf,Papunesia,0,-10.16,149.26
3994,lauj1238,Lauje,Austronesian,law,Papunesia,1,0.51,120.26
3995,laur1250,Laurentian,Iroquoian,lre,North America,0,45.33,-72.5
3996,laut1236,Lautu,Sino-Tibetan,clt,Eurasia,0,22.2,93.44
3997,lauu1247,Lau,Austronesian,llu,Papunesia,3,-8.51,160.87
3998,lava1239,Lavatbura-Lamusong,Austronesian,lbv,Papunesia,4,-3.22,151.73
3999,lave1248,Laven,Austroasiatic,lbo,Eurasia,0,15.27,106.32
4000,lave1249,Brao,Austroasiatic,brb,Eurasia,12,14.6,107.01
4001,lavu1241,Lavukaleve,,lvk,Papunesia,0,-9.06,159.12
4002,lawa1257,Lawangan,Austronesian,lbx,Papunesia,16,-1.8,115.88
4003,lawi1235,Lawi,Austroasiatic,lvi,Eurasia,0,15.31,106.73
4004,lawu1237,Lawunuia,Austronesian,tgi,Papunesia,1,-6.15,155.13
4005,lawu1238,Lawu,Sino-Tibetan,lwu,Eurasia,0,24.13,101.5
4006,laya1253,Layakha,Sino-Tibetan,lya,Eurasia,0,28.05,89.72
4007,laze1238,Laze,Sino-Tibetan,,Eurasia,0,27.85,101.45
4008,lazz1240,Laz,Kartvelian,lzz,Eurasia,7,41.5,41.91
4009,leal1235,Lealao Chinantec,Otomanguean,cle,North America,0,17.32,-95.93
4010,lebu1234,Lebu Wolof,Atlantic-Congo,,Africa,0,14.75,-17.49
4011,leco1242,Leco,,lec,South America,0,-15.01,-67.88
4012,ledo1238,Ledo Kaili,Austronesian,lew,Papunesia,10,-1.03,120.13
4013,leel1242,Leelau,Atlantic-Congo,ldk,Africa,0,9.29,11.16
4014,lefa1242,Lefa,Atlantic-Congo,lfa,Africa,4,5.06,11.11
4015,lega1249,Lega-Shabunda,Atlantic-Congo,lea,Africa,6,-3.83,27.14
4016,lega1250,Lega-Mwenga,Atlantic-Congo,lgm,Africa,6,-3.39,28.26
4017,legb1242,Legbo,Atlantic-Congo,agb,Africa,0,6.03,7.98
4018,lege1241,Legenyem,Austronesian,lcc,Papunesia,0,-0.36,130.75
4019,leha1242,Lehar,Atlantic-Congo,cae,Africa,0,14.94,-16.88
4020,leha1243,Lehali,Austronesian,tql,Papunesia,0,-13.5,167.33
4021,leha1244,Lehalurup,Austronesian,urr,Papunesia,0,-13.54,167.34
4022,lein1237,Lainong Naga,Sino-Tibetan,lzn,Eurasia,0,26.45,95.4
4023,leip1237,Leipon,Austronesian,lek,Papunesia,0,-1.97,147.23
4024,leit1234,Leitre,Sko,,Papunesia,0,-2.84,141.62
4025,lela1246,Lelak,Austronesian,llk,Papunesia,2,4.11,114.03
4026,lele1264,Lelemi,Atlantic-Congo,lef,Africa,0,7.35,0.51
4027,lele1265,Lele (Democratic Republic of Congo),Atlantic-Congo,lel,Africa,0,-4.95,20.57
4028,lele1266,Lele (Guinea),Mande,llc,Africa,4,8.98,-10.37
4029,lele1267,Lelepa,Austronesian,lpa,Papunesia,0,-17.6,168.2
4030,lele1270,Lele (Papua New Guinea),Austronesian,lle,Papunesia,1,-2.05,147.21
4031,lele1276,Lele (Chad),Afro-Asiatic,lln,Africa,0,9.16,15.81
4032,lema1244,Lematang,Bookkeeping,lmt,,0,,
4033,lemb1266,Lembena,Nuclear Trans New Guinea,leq,Papunesia,0,-5,143.89
4034,leme1238,Lemerig,Austronesian,lrz,Papunesia,0,-13.74,167.42
4035,lemi1243,Lemio,Nuclear Trans New Guinea,lei,Papunesia,0,-5.7,145.78
4036,lemn1237,Lemnian,Unclassifiable,xle,Eurasia,0,,
4037,lemo1242,Lemoro,Atlantic-Congo,ldj,Africa,0,10.44,8.71
4038,lemo1243,Lemolang,Austronesian,ley,Papunesia,0,-2.63,120.27
4039,lena1238,Lenakel,Austronesian,tnl,Papunesia,4,-19.48,169.26
4040,,,,,,,,
4041,lenc1242,Lenca-Honduras,Lencan,,North America,0,13.67,-87.5
4042,lenc1243,Lenca-Salvador,Lencan,,North America,0,13.56,-88.11
4043,lend1245,Lendu,Central Sudanic,led,Africa,6,2.19,30.68
4044,leng1258,Lengola,Atlantic-Congo,lej,Africa,0,-1.96,25.33
4045,leng1259,Lengo,Austronesian,lgr,Papunesia,4,-9.56,160.42
4046,leng1260,Lengilu,Austronesian,lgi,Papunesia,4,3.7,115.91
4047,leni1238,Linngithigh,Pama-Nyungan,lnj,Australia,0,-12.77,141.96
4048,lenj1248,Lenje,Atlantic-Congo,leh,Africa,2,-14.72,28.26
4049,lenk1247,Lenkau,Austronesian,ler,Papunesia,0,-2.33,147.74
4050,lenn1234,Len,Yam,,Papunesia,0,-9.12,142.1
4051,leny1238,Lenyima,Atlantic-Congo,ldg,Africa,0,6,8.29
4052,lepc1244,Lepcha,Sino-Tibetan,lep,Eurasia,3,27.09,88.57
4053,lepk1238,Lepki,Lepki-Murkim-Kembra,lpe,Papunesia,0,-4.11,140.46
4054,lepo1240,Lepontic,Indo-European,xlp,Eurasia,0,45.98,8.92
4055,lere1241,Lere,Atlantic-Congo,gnh,Africa,3,10.48,8.93
4056,lese1243,Lese,Central Sudanic,les,Africa,5,1.3,29.3
4057,lesi1239,Lesing-Gelimi,Austronesian,let,Papunesia,2,-6.2,150.51
4058,leso1234,Lesotho Sign Language,Sign Language,,Africa,0,-29.37,27.51
4059,lete1241,Letemboi-Repanbitip,Austronesian,nms,Papunesia,2,-16.43,167.57
4060,leti1245,Leti (Cameroon),Atlantic-Congo,leo,Africa,0,4.57,11.4
4061,leti1246,Leti (Indonesia),Austronesian,lti,Papunesia,0,-8.2,127.67
4062,levu1239,Central Lembata-Lewokukun,Austronesian,lvu,Papunesia,4,-8.47,123.44
4063,lewo1242,Lewo,Austronesian,lww,Papunesia,2,-16.76,168.33
4064,lewo1243,Lewo Eleng,Austronesian,lwe,Papunesia,0,-8.36,123.65
