,Name,Status,Link,Speakers,Glottocode,Country
99,Ai-Cham,Definitely endangered,https://en.wal.unesco.org/languages/ai-cham,9999,aich1238,N/A
100,Aighon,Endangered/unsafe,https://en.wal.unesco.org/languages/aighon,9999,aigh1235,N/A
101,Aikanã,Endangered/unsafe,https://en.wal.unesco.org/languages/aikana,999,aika1237,N/A
102,Aiklep,Endangered/unsafe,https://en.wal.unesco.org/languages/aiklep,9999,aikl1237,N/A
103,Aimaq,Potentially vulnerable,https://en.wal.unesco.org/languages/aimaq,999999,aima1241,N/A
104,Aimele,Definitely endangered,https://en.wal.unesco.org/languages/aimele,999,aime1238,N/A
105,Aimol,Definitely endangered,https://en.wal.unesco.org/languages/aimol,9999,aimo1244,India
106,Ainbai,Definitely endangered,https://en.wal.unesco.org/languages/ainbai,99,ainb1238,N/A
107,Ainu (China),Definitely endangered,https://en.wal.unesco.org/languages/ainu-china,9999,ainu1251,N/A
108,Aiome,Definitely endangered,https://en.wal.unesco.org/languages/aiome,999,aiom1240,N/A
109,Airoran,Definitely endangered,https://en.wal.unesco.org/languages/airoran,999,airo1242,N/A
110,Aisi,Definitely endangered,https://en.wal.unesco.org/languages/aisi,999,musa1266,N/A
111,Aiton,Definitely endangered,https://en.wal.unesco.org/languages/aiton,9999,aito1238,N/A
112,Äiwoo,Endangered/unsafe,https://en.wal.unesco.org/languages/aiwoo,9999,ayiw1239,N/A
113,Aja (Benin),Potentially vulnerable,https://en.wal.unesco.org/languages/aja-benin,999999,ajab1235,Benin
114,Aja (Sudan),Definitely endangered,https://en.wal.unesco.org/languages/aja-sudan,999,ajas1235,South Sudan
115,Ajawa,Not in use,https://en.wal.unesco.org/languages/ajawa,0,ajaw1236,N/A
116,Ajië,Endangered/unsafe,https://en.wal.unesco.org/languages/ajie,9999,ajie1238,N/A
117,Ajumbu,Definitely endangered,https://en.wal.unesco.org/languages/ajumbu,999,mbuu1238,Cameroon
118,Ajyíninka Apurucayali,Endangered/unsafe,https://en.wal.unesco.org/languages/ajyininka-apurucayali,9999,ajyi1238,N/A
119,Ak,Severely endangered,https://en.wal.unesco.org/languages/ak,99,akkk1240,N/A
120,Aka,Definitely endangered,https://en.wal.unesco.org/languages/aka,999,akaa1242,N/A
121,Akabea,Not in use,https://en.wal.unesco.org/languages/akabea,0,akab1249,N/A
122,Akabo,Not in use,https://en.wal.unesco.org/languages/akabo,0,akab1248,N/A
123,Akacari,Not in use,https://en.wal.unesco.org/languages/akacari,0,akac1240,N/A
