Name_x,Status,Link,Speakers,Glottocode,Country,Name_y,Top-level family,ISO-639-3,Macroarea,Child dialects,Latitude,Longtitude
Longchuan Achang,Definitely endangered,https://en.wal.unesco.org/languages/longchuan-achang,99999.0,acha1249,,Longchuan Achang,Sino-Tibetan,acn,Eurasia,3.0,24.35,97.74
Ngochang,Endangered/unsafe,https://en.wal.unesco.org/languages/ngochang,99999.0,acha1249,Myanmar,Longchuan Achang,Sino-Tibetan,acn,Eurasia,3.0,24.35,97.74
Achagua,Definitely endangered,https://en.wal.unesco.org/languages/achagua,999.0,acha1250,Colombia,Achagua,Arawakan,aca,South America,0.0,4.39,-72.2
Ache,Definitely endangered,https://en.wal.unesco.org/languages/ache,99999.0,ache1244,Paraguay,Ache,Sino-Tibetan,yif,Eurasia,0.0,24.15,102.45
Acheron,Endangered/unsafe,https://en.wal.unesco.org/languages/acheron,99999.0,ache1245,Sudan,Acheron,Narrow Talodi,acz,Africa,2.0,10.88,30.32
Aché,Severely endangered,https://en.wal.unesco.org/languages/ache-0,999.0,ache1246,,Aché,Tupian,guq,South America,0.0,-25.59,-56.47
Achi,Endangered/unsafe,https://en.wal.unesco.org/languages/achi,99999.0,achi1256,,Achi,Mayan,acr,North America,0.0,15.07,-90.35
Acehnese,Definitely endangered,https://en.wal.unesco.org/languages/acehnese,9999999.0,achi1257,Indonesia,Acehnese,Austronesian,ace,Papunesia,7.0,3.91,96.6
,,,,achi1258,,"Achi', Cubulco",Bookkeeping,acc,North America,0.0,,
Achumawi,Critically endangered,https://en.wal.unesco.org/languages/achumawi,9999.0,achu1247,,Achumawi,Palaihnihan,acv,North America,0.0,41.1,-121.19
Achuar-Shiwiar,Definitely endangered,https://en.wal.unesco.org/languages/achuar-shiwiar,9999.0,achu1248,Ecuador,Achuar-Shiwiar,Chicham,acu,South America,2.0,-2.83,-77.26
Acoli,Potentially vulnerable,https://en.wal.unesco.org/languages/acoli,9999999.0,acol1236,South Sudan,Acoli,Nilotic,ach,Africa,3.0,3.58,32.51
Acroá,Not in use,https://en.wal.unesco.org/languages/acroa,0.0,acro1239,,Acroá,Nuclear-Macro-Je,acs,South America,0.0,-12.59,-40.21
Adabe,Endangered/unsafe,https://en.wal.unesco.org/languages/adabe,999.0,adab1235,,Adabe,Bookkeeping,adb,Papunesia,0.0,-8.23,125.58
Adai,Not in use,https://en.wal.unesco.org/languages/adai,0.0,adai1235,,Adai,,xad,North America,0.0,31.63,-92.01
Adamorobe Sign Language,Definitely endangered,https://en.wal.unesco.org/languages/adamorobe-sign-language,9999.0,adam1238,,Adamorobe Sign Language,Sign Language,ads,Africa,0.0,5.83,-0.15
Adamawa Fulfulde,Potentially vulnerable,https://en.wal.unesco.org/languages/adamawa-fulfulde,999999.0,adam1253,Sudan,Adamawa Fulfulde,Atlantic-Congo,fub,Africa,6.0,8.14,13.08
Adangme,Potentially vulnerable,https://en.wal.unesco.org/languages/adangme,999999.0,adan1247,,Adangme,Atlantic-Congo,ada,Africa,6.0,5.94,0.13
Adangbe,Definitely endangered,https://en.wal.unesco.org/languages/adangbe,9999.0,adan1248,,Adangbe,Atlantic-Congo,adq,Africa,0.0,6.51,0.73
Adang,Definitely endangered,https://en.wal.unesco.org/languages/adang,99999.0,adan1251,Indonesia,Adang,Timor-Alor-Pantar,adn,Papunesia,1.0,-8.19,124.45
,,,,adap1234,,Adap,Bookkeeping,adp,Eurasia,0.0,27.14,90.34
Adasen,Definitely endangered,https://en.wal.unesco.org/languages/adasen,9999.0,adas1235,,Adasen,Austronesian,tiu,Papunesia,2.0,17.82,120.91
Adele,Endangered/unsafe,https://en.wal.unesco.org/languages/adele,99999.0,adel1244,,Adele,Atlantic-Congo,ade,Africa,2.0,8.17,0.62
,,,,adha1238,,Adhari,Indo-European,,Eurasia,0.0,40.05,48.06
Adhola,Potentially vulnerable,https://en.wal.unesco.org/languages/adhola,999999.0,adho1243,,Adhola,Nilotic,adh,Africa,0.0,0.73,34.03
Adioukrou,Endangered/unsafe,https://en.wal.unesco.org/languages/adioukrou,99999.0,adio1239,,Adioukrou,Atlantic-Congo,adj,Africa,0.0,5.38,-4.53
Kotia-Adivasi Oriya-Desiya,Potentially vulnerable,https://en.wal.unesco.org/languages/kotia-adivasi-oriya-desiya,999999.0,adiv1239,India,Kotia-Adivasi Oriya-Desiya,Indo-European,ort,Eurasia,0.0,18.1,82.85
Adiwasi Garasia,Endangered/unsafe,https://en.wal.unesco.org/languages/adiwasi-garasia,99999.0,adiw1235,,Adiwasi Garasia,Indo-European,gas,Eurasia,0.0,24.07,73.14
Adnyamathanha,Definitely endangered,https://en.wal.unesco.org/languages/adnyamathanha,99.0,adny1235,,Adnyamathanha,Pama-Nyungan,adt,Australia,0.0,-30.15,138.67
Adonara,Endangered/unsafe,https://en.wal.unesco.org/languages/adonara,99999.0,adon1237,,Adonara,Austronesian,adr,Papunesia,10.0,-8.32,123.16
Aduge,Definitely endangered,https://en.wal.unesco.org/languages/aduge,9999.0,adug1238,,Aduge,Bookkeeping,adu,Africa,0.0,7.65,6.13
,,,,adur1234,,Adurgari,Speech Register,,Eurasia,0.0,33.79,69.32
Adyghe,Endangered/unsafe,https://en.wal.unesco.org/languages/adyghe,99999.0,adyg1241,Russian Federation,West Circassian,Abkhaz-Adyge,ady,Eurasia,6.0,44.0,39.33
Adzera,Endangered/unsafe,https://en.wal.unesco.org/languages/adzera,99999.0,adze1240,,Adzera,Austronesian,adz,Papunesia,0.0,-6.39,146.29
,,,,adze1241,,Adzera (Retired),Bookkeeping,azr,,0.0,,
Aeka,Endangered/unsafe,https://en.wal.unesco.org/languages/aeka,999.0,aeka1244,,Aeka,Nuclear Trans New Guinea,aez,Papunesia,0.0,-8.86,147.99
Aekyom,Endangered/unsafe,https://en.wal.unesco.org/languages/aekyom,9999.0,aeky1238,,Aekyom,Kamula-Elevala,awi,Papunesia,3.0,-5.88,141.53
Aer,Definitely endangered,https://en.wal.unesco.org/languages/aer,999.0,aerr1238,Pakistan,Aer,Indo-European,aeq,Eurasia,2.0,25.25,69.03
Afade,Definitely endangered,https://en.wal.unesco.org/languages/afade,99999.0,afad1236,Cameroon,Afade,Afro-Asiatic,aal,Africa,0.0,12.06,14.63
Afar,Potentially vulnerable,https://en.wal.unesco.org/languages/afar,9999999.0,afar1241,,Afar,Afro-Asiatic,aar,Africa,4.0,12.23,41.81
Afghan Sign Language,Endangered/unsafe,https://en.wal.unesco.org/languages/afghan-sign-language,999.0,afgh1239,,Afghan Sign Language,Sign Language,afg,Eurasia,0.0,34.43,70.45
Afghanistan Gorbat,Unknown,https://en.wal.unesco.org/languages/afghanistan-gorbat,,afgh1240,,Afghanistan Gorbat,Mixed Language,,Eurasia,0.0,,
Afitti,Definitely endangered,https://en.wal.unesco.org/languages/afitti,999.0,afit1238,Sudan,Afitti,Nyimang,aft,Africa,0.0,12.45,30.76
Afrikaans,Potentially vulnerable,https://en.wal.unesco.org/languages/afrikaans,999999999.0,afri1274,,Afrikaans,Indo-European,afr,Africa,3.0,-22.0,30.0
,,,,afri1275,,Afrihili,Artificial Language,afh,Africa,0.0,,
Afro-Seminole Creole,Critically endangered,https://en.wal.unesco.org/languages/afro-seminole-creole,999.0,afro1254,,Afro-Seminole Creole,Indo-European,afs,North America,0.0,31.78,-99.29
Afudu,Not in use,https://en.wal.unesco.org/languages/afudu,0.0,afud1235,,Afudu,Atlantic-Congo,,Africa,0.0,9.83,11.3
Agariya,Endangered/unsafe,https://en.wal.unesco.org/languages/agariya,99999.0,agar1251,,Agariya,Unattested,agi,Eurasia,0.0,24.5,82.3
Agarabi,Endangered/unsafe,https://en.wal.unesco.org/languages/agarabi,99999.0,agar1252,,Agarabi,Nuclear Trans New Guinea,agd,Papunesia,0.0,-6.21,145.92
Agatu,Endangered/unsafe,https://en.wal.unesco.org/languages/agatu,99999.0,agat1236,,Agatu,Atlantic-Congo,agc,Africa,0.0,7.98,7.72
Agavotaguerra,Not in use,https://en.wal.unesco.org/languages/agavotaguerra,0.0,agav1236,,Agavotaguerra,Unattested,avo,South America,0.0,-13.3,-53.44
,,,,agbi1234,,Agbirigba,Speech Register,,Africa,0.0,,
Aghem,Endangered/unsafe,https://en.wal.unesco.org/languages/aghem,99999.0,aghe1239,Cameroon,Aghem,Atlantic-Congo,agq,Africa,0.0,6.39,10.08
Aghul,Definitely endangered,https://en.wal.unesco.org/languages/aghul,99999.0,aghu1253,Russian Federation,Aghul,Nakh-Daghestanian,agx,Eurasia,6.0,41.92,47.58
Aghu Tharnggalu,Not in use,https://en.wal.unesco.org/languages/aghu-tharnggalu,0.0,aghu1254,,Aghu Tharnggalu,Pama-Nyungan,ggr,Australia,0.0,-13.73,142.43
Aghu,Definitely endangered,https://en.wal.unesco.org/languages/aghu,9999.0,aghu1255,,Aghu,Nuclear Trans New Guinea,ahh,Papunesia,0.0,-6.35,140.04
,,,,aghu1256,,Aghu Tharnggalu (Retired),Bookkeeping,gtu,Australia,0.0,-15.0,144.0
Aghwan,Not in use,https://en.wal.unesco.org/languages/aghwan,0.0,aghw1237,,Aghwan,Nakh-Daghestanian,xag,Eurasia,0.0,40.37,47.13
Agi,Definitely endangered,https://en.wal.unesco.org/languages/agi,999.0,agii1245,,Agi,Nuclear Torricelli,aif,Papunesia,0.0,-3.49,142.39
Agob-Ende-Kawam,Endangered/unsafe,https://en.wal.unesco.org/languages/agob-ende-kawam,9999.0,agob1244,,Agob-Ende-Kawam,Pahoturi,kit,Papunesia,3.0,-9.09,142.53
Agoi,Endangered/unsafe,https://en.wal.unesco.org/languages/agoi,99999.0,agoi1246,,Robambami,Atlantic-Congo,ibm,Africa,2.0,5.88,8.22
Agta-Pahanan,Endangered/unsafe,https://en.wal.unesco.org/languages/agta-pahanan,9999.0,agta1234,,Agta-Pahanan,Austronesian,apf,Papunesia,0.0,17.05,122.28
Aguano,Not in use,https://en.wal.unesco.org/languages/aguano,0.0,agua1251,,Aguano,Unattested,aga,South America,0.0,-5.25,-75.83
Aguacateco,Endangered/unsafe,https://en.wal.unesco.org/languages/aguacateco,9999.0,agua1252,,Aguacateco,Mayan,agu,North America,0.0,15.33,-91.32
Aguaruna,Endangered/unsafe,https://en.wal.unesco.org/languages/aguaruna,99999.0,agua1253,Peru,Aguaruna,Chicham,agr,South America,0.0,-5.3,-77.92
Aguna,Definitely endangered,https://en.wal.unesco.org/languages/aguna,99999.0,agun1238,Benin,Aguna,Atlantic-Congo,aug,Africa,0.0,7.49,1.74
Agusan Manobo,Endangered/unsafe,https://en.wal.unesco.org/languages/agusan-manobo,99999.0,agus1235,Philippines,Agusan Manobo,Austronesian,msm,Papunesia,3.0,8.63,125.74
Agutaynen,Endangered/unsafe,https://en.wal.unesco.org/languages/agutaynen,99999.0,agut1237,Philippines,Agutaynen,Austronesian,agn,Papunesia,0.0,10.53,119.66
Agwagwune,Endangered/unsafe,https://en.wal.unesco.org/languages/agwagwune,99999.0,agwa1247,,Agwagwune,Atlantic-Congo,yay,Africa,7.0,5.81,8.03
Ahanta,Potentially vulnerable,https://en.wal.unesco.org/languages/ahanta,999999.0,ahan1243,,Ahanta,Atlantic-Congo,aha,Africa,0.0,4.85,-1.95
Àhàn,Definitely endangered,https://en.wal.unesco.org/languages/ahan,999.0,ahan1244,,Àhàn,Atlantic-Congo,ahn,Africa,0.0,7.44,6.01
,,,,ahea1240,,Ahe,Bookkeeping,ahe,,0.0,,
,,,,aher1237,,Aheri Gondi,Dravidian,esg,Eurasia,3.0,19.42,80.01
Thavung,Definitely endangered,https://en.wal.unesco.org/languages/thavung,999.0,aheu1239,,Thavung,Austroasiatic,thm,Eurasia,0.0,17.77,104.23
Ahin-Kayapa Kalanguya,Endangered/unsafe,https://en.wal.unesco.org/languages/ahin-kayapa-kalanguya,99999.0,ahin1234,Philippines,Ahin-Kayapa Kalanguya,Austronesian,kak,Papunesia,2.0,16.32,120.9
,,,,ahir1243,,Ahirani,Bookkeeping,ahr,Eurasia,0.0,21.55,73.69
Ahom,Not in use,https://en.wal.unesco.org/languages/ahom,0.0,ahom1240,,Ahom,Tai-Kadai,aho,Eurasia,0.0,27.28,88.46
Ahtena,Critically endangered,https://en.wal.unesco.org/languages/ahtena,99.0,ahte1237,,Ahtena,Athabaskan-Eyak-Tlingit,aht,North America,5.0,61.71,-144.89
Ndunic,Endangered/unsafe,https://en.wal.unesco.org/languages/ndunic,99999.0,ahwa1235,,Ndunic,Atlantic-Congo,nfd,Africa,0.0,9.18,8.56
Ai-Cham,Definitely endangered,https://en.wal.unesco.org/languages/ai-cham,9999.0,aich1238,,Ai-Cham,Tai-Kadai,aih,Eurasia,2.0,25.49,107.84
Aighon,Endangered/unsafe,https://en.wal.unesco.org/languages/aighon,9999.0,aigh1235,,Aighon,Austronesian,aix,Papunesia,3.0,-5.99,150.27
Aikanã,Endangered/unsafe,https://en.wal.unesco.org/languages/aikana,999.0,aika1237,,Aikanã,,tba,South America,1.0,-12.67,-60.54
Aiklep,Endangered/unsafe,https://en.wal.unesco.org/languages/aiklep,9999.0,aikl1237,,Aiklep,Austronesian,mwg,Papunesia,0.0,-6.24,149.57
,,,,aiku1240,,Aiku,Bookkeeping,mzf,,0.0,,
Aimaq,Potentially vulnerable,https://en.wal.unesco.org/languages/aimaq,999999.0,aima1241,,Aimaq,Indo-European,aiq,Eurasia,10.0,35.28,59.18
Aimele,Definitely endangered,https://en.wal.unesco.org/languages/aimele,999.0,aime1238,,Aimele,Bosavi,ail,Papunesia,0.0,-6.69,142.66
Aimol,Definitely endangered,https://en.wal.unesco.org/languages/aimol,9999.0,aimo1244,India,Aimol,Sino-Tibetan,aim,Eurasia,2.0,24.64,94.36
Ainbai,Definitely endangered,https://en.wal.unesco.org/languages/ainbai,99.0,ainb1238,,Ainbai,Border,aic,Papunesia,0.0,-3.09,141.15
Hokkaido Ainu,Critically endangered,https://en.wal.unesco.org/languages/hokkaido-ainu,9.0,ainu1240,Japan,Hokkaido Ainu,Ainu,ain,Eurasia,2.0,43.63,142.46
Ainu (China),Definitely endangered,https://en.wal.unesco.org/languages/ainu-china,9999.0,ainu1251,,Ainu (China),Turkic,aib,Eurasia,2.0,39.27,76.42
Aiome,Definitely endangered,https://en.wal.unesco.org/languages/aiome,999.0,aiom1240,,Aiome,Ramu,aki,Papunesia,0.0,-5.13,144.76
Airoran,Definitely endangered,https://en.wal.unesco.org/languages/airoran,999.0,airo1242,,Airoran,Greater Kwerba,air,Papunesia,0.0,-1.85,138.16
Aiton,Definitely endangered,https://en.wal.unesco.org/languages/aiton,9999.0,aito1238,,Aiton,Tai-Kadai,aio,Eurasia,0.0,26.51,92.32
Aja (Benin),Potentially vulnerable,https://en.wal.unesco.org/languages/aja-benin,999999.0,ajab1235,Benin,Aja (Benin),Atlantic-Congo,ajg,Africa,4.0,7.07,1.65
Aja (Sudan),Definitely endangered,https://en.wal.unesco.org/languages/aja-sudan,999.0,ajas1235,South Sudan,Aja (South Sudan),Kresh-Aja,aja,Africa,0.0,8.58,25.61
Ajawa,Not in use,https://en.wal.unesco.org/languages/ajawa,0.0,ajaw1236,,Ajawa,Afro-Asiatic,ajw,Africa,0.0,10.21,9.89
Ajië,Endangered/unsafe,https://en.wal.unesco.org/languages/ajie,9999.0,ajie1238,,Ajië,Austronesian,aji,Papunesia,0.0,-21.3,165.47
Ajyíninka Apurucayali,Endangered/unsafe,https://en.wal.unesco.org/languages/ajyininka-apurucayali,9999.0,ajyi1238,,Ajyíninka Apurucayali,Arawakan,cpc,South America,0.0,-9.82,-74.62
Aka,Definitely endangered,https://en.wal.unesco.org/languages/aka,999.0,akaa1242,,Aka,Eastern Jebel,soh,Africa,0.0,11.21,33.65
Akabo,Not in use,https://en.wal.unesco.org/languages/akabo,0.0,akab1248,,Akabo,Great Andamanese,akm,Eurasia,0.0,12.36,92.8
Akabea,Not in use,https://en.wal.unesco.org/languages/akabea,0.0,akab1249,,Akabea,Great Andamanese,abj,Eurasia,0.0,12.38,92.78
Akacari,Not in use,https://en.wal.unesco.org/languages/akacari,0.0,akac1240,,Akacari,Great Andamanese,aci,Eurasia,0.0,13.49,92.95
Akajeru,Critically endangered,https://en.wal.unesco.org/languages/akajeru,9.0,akaj1239,,Akajeru,Great Andamanese,akj,Eurasia,1.0,13.15,92.95
Akakora,Not in use,https://en.wal.unesco.org/languages/akakora,0.0,akak1251,,Akakora,Great Andamanese,ack,Eurasia,0.0,12.09,92.75
Akakede,Not in use,https://en.wal.unesco.org/languages/akakede,0.0,akak1252,,Akakede,Great Andamanese,akx,Eurasia,0.0,12.85,92.82
Akakol,Not in use,https://en.wal.unesco.org/languages/akakol,0.0,akak1253,,Akakol,Great Andamanese,aky,Eurasia,0.0,12.73,92.79
Akan,Potentially vulnerable,https://en.wal.unesco.org/languages/akan,9999999.0,akan1250,Ghana,Akan,Atlantic-Congo,aka,Africa,10.0,6.35,-1.33
Akarbale,Not in use,https://en.wal.unesco.org/languages/akarbale,0.0,akar1243,,Akarbale,Great Andamanese,acl,Eurasia,0.0,12.67,92.83
Akaselem,Endangered/unsafe,https://en.wal.unesco.org/languages/akaselem,99999.0,akas1242,,Akaselem,Atlantic-Congo,aks,Africa,0.0,8.89,1.37
Akawaio,Endangered/unsafe,https://en.wal.unesco.org/languages/akawaio,9999.0,akaw1239,Guyana,Akawaio-Ingariko,Cariban,ake,South America,2.0,6.16,-60.86
Akebu,Endangered/unsafe,https://en.wal.unesco.org/languages/akebu,99999.0,akeb1238,,Akebu,Atlantic-Congo,keu,Africa,0.0,7.78,0.78
Ake,Endangered/unsafe,https://en.wal.unesco.org/languages/ake,9999.0,akee1238,,Akye,Atlantic-Congo,aik,Africa,0.0,8.6,8.76
Akei,Endangered/unsafe,https://en.wal.unesco.org/languages/akei,999.0,akei1237,,Akei,Austronesian,tsr,Papunesia,0.0,-15.64,166.77
Akeu,Definitely endangered,https://en.wal.unesco.org/languages/akeu,99999.0,akeu1235,Myanmar,Akeu,Sino-Tibetan,aeu,Eurasia,0.0,22.2,101.08
Akha,Potentially vulnerable,https://en.wal.unesco.org/languages/akha,999999.0,akha1245,Myanmar,Akha,Sino-Tibetan,ahk,Eurasia,2.0,21.23,100.96
Akhvakh,Definitely endangered,https://en.wal.unesco.org/languages/akhvakh,999.0,akhv1239,,Northern Akhvakh,Nakh-Daghestanian,akv,Eurasia,2.0,42.4,46.3
Akkala Saami,Not in use,https://en.wal.unesco.org/languages/akkala-saami,0.0,akka1237,,Akkala Saami,Uralic,sia,Eurasia,0.0,67.86,32.4
Akkadian,Not in use,https://en.wal.unesco.org/languages/akkadian,0.0,akka1240,,Akkadian,Afro-Asiatic,akk,Eurasia,11.0,33.1,44.1
Ak,Severely endangered,https://en.wal.unesco.org/languages/ak,99.0,akkk1240,,Ak,Sepik,akq,Papunesia,0.0,-3.57,141.78
,,,,akla1240,,Aklanon,Austronesian,akl,Papunesia,4.0,11.55,122.35
Akolet,Endangered/unsafe,https://en.wal.unesco.org/languages/akolet,999.0,akol1237,,Akolet,Austronesian,akt,Papunesia,0.0,-6.23,150.18
Akoose,Endangered/unsafe,https://en.wal.unesco.org/languages/akoose,99999.0,akoo1248,Cameroon,Akoose,Atlantic-Congo,bss,Africa,7.0,4.92,9.66
Akoye,Definitely endangered,https://en.wal.unesco.org/languages/akoye,999.0,akoy1238,,Akoye,Angan,miw,Papunesia,0.0,-7.66,145.67
Akpa,Potentially vulnerable,https://en.wal.unesco.org/languages/akpa,999999.0,akpa1238,,Akpa,Atlantic-Congo,akf,Africa,0.0,7.33,8.02
Akpes,Definitely endangered,https://en.wal.unesco.org/languages/akpes,9999.0,akpe1248,,Akpes,Atlantic-Congo,ibe,Africa,9.0,7.5,5.96
Akpondu,Not in use,https://en.wal.unesco.org/languages/akpondu,0.0,akpo1243,,Akpondu,Atlantic-Congo,,Africa,0.0,9.24,8.55
Chini,Severely endangered,https://en.wal.unesco.org/languages/chini,999.0,akru1241,,Chini,Ramu,afi,Papunesia,0.0,-4.89,144.82
Akuku,Endangered/unsafe,https://en.wal.unesco.org/languages/akuku,,akuk1235,,Akuku,Atlantic-Congo,ayk,Africa,0.0,7.4,6.34
Akum,Definitely endangered,https://en.wal.unesco.org/languages/akum,9999.0,akum1238,Cameroon,Akum,Atlantic-Congo,aku,Africa,0.0,6.86,9.96
Akuntsu,Critically endangered,https://en.wal.unesco.org/languages/akuntsu,9.0,akun1241,,Akuntsu,Tupian,aqz,South America,0.0,-12.83,-60.97
Akurio,Not in use,https://en.wal.unesco.org/languages/akurio,0.0,akur1238,,Akurio,Cariban,ako,South America,0.0,3.2,-55.63
Akwa,Definitely endangered,https://en.wal.unesco.org/languages/akwa,99999.0,akwa1248,,Akwa,Atlantic-Congo,akw,Africa,0.0,-0.4,15.46
,,,,akya1234,,Akyaung Ari Naga,Bookkeeping,nqy,Eurasia,0.0,,
Alabama,Definitely endangered,https://en.wal.unesco.org/languages/alabama,999.0,alab1237,,Alabama,Muskogean,akz,North America,0.0,30.77,-94.63
Alabat Island Agta,Critically endangered,https://en.wal.unesco.org/languages/alabat-island-agta,99.0,alab1246,Philippines,Alabat Island Agta,Austronesian,dul,Papunesia,0.0,14.12,122.01
Alaba-K'abeena,Potentially vulnerable,https://en.wal.unesco.org/languages/alaba-kabeena,999999.0,alab1254,,Alaba-K'abeena,Afro-Asiatic,alw,Africa,0.0,7.39,38.17
Alacalufe-Austral,Not in use,https://en.wal.unesco.org/languages/alacalufe-austral,0.0,alac1239,,Alacalufe-Austral,Kawesqar,,South America,0.0,-54.79,-70.14
Alacalufe-Central,Not in use,https://en.wal.unesco.org/languages/alacalufe-central,0.0,alac1240,,Alacalufe-Central,Kawesqar,,South America,0.0,-53.44,-71.04
Alacatlatzala Mixtec,Endangered/unsafe,https://en.wal.unesco.org/languages/alacatlatzala-mixtec,99999.0,alac1244,,Alacatlatzala Mixtec,Otomanguean,mim,North America,5.0,17.25,-98.58
Alago,Endangered/unsafe,https://en.wal.unesco.org/languages/alago,99999.0,alag1242,,Alago,Atlantic-Congo,ala,Africa,4.0,8.35,8.52
Alagwa,Definitely endangered,https://en.wal.unesco.org/languages/alagwa,99999.0,alag1248,,Alagwa,Afro-Asiatic,wbj,Africa,0.0,-4.64,35.72
,,,,alag1249,,Alaguilac,Bookkeeping,,North America,0.0,,
Alak,Endangered/unsafe,https://en.wal.unesco.org/languages/alak,9999.0,alak1253,,Alak,Austroasiatic,alk,Eurasia,0.0,15.56,106.6
Alamblak,Definitely endangered,https://en.wal.unesco.org/languages/alamblak,9999.0,alam1246,,Alamblak,Sepik,amp,Papunesia,2.0,-4.66,143.32
Alangan,Definitely endangered,https://en.wal.unesco.org/languages/alangan,9999.0,alan1249,Philippines,Alangan,Austronesian,alj,Papunesia,0.0,13.1,121.02
Alapmunte,Not in use,https://en.wal.unesco.org/languages/alapmunte,0.0,alap1235,,Alapmunte,Unattested,apv,South America,0.0,-12.33,-60.0
